Type,Cons_per_e,Itinerary,Avg_Slope,Shape_Leng
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.734011431,3969.214851
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",0.552265527,290.1833701
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",0.76632761,6647.017098
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",0.687236645,27330.36337
Secondary Road,,,1.887960296,22623.43059
Secondary Road,,,4.366663161,5302.133849
Secondary Road,,,1.479588134,33753.91537
Main Road,,Itinerarium Antonini,2.743662016,13327.73168
Secondary Road,,Tabula Peutingeriana,2.972190428,31080.33091
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",3.434569046,27295.23938
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Traiana",4.847699723,25362.60371
Main Road,,Tabula Peutingeriana,3.977775891,33614.44175
Main Road,,Itinerarium Antonini,3.662930034,410.2002617
Main Road,,Itinerarium Antonini,1.398580442,5923.502436
Main Road,,Itinerarium Antonini,1.04861484,16500.24682
Main Road,,Itinerarium Antonini,0.931371613,18198.14341
Secondary Road,,Itinerarium Antonini,0.981068305,6866.969676
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Traiana",4.206457419,10464.04985
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Traiana",3.959644564,21053.4582
Secondary Road,,Tabula Peutingeriana,2.649821588,29100.43559
Secondary Road,,Tabula Peutingeriana,5.228334489,45928.45589
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",3.106915532,33187.94551
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",1.532144753,6464.128133
Main Road,,Tabula Peutingeriana,1.761576518,1633.883035
Main Road,,Tabula Peutingeriana,3.127847738,1537.429532
Main Road,,Tabula Peutingeriana,1.440825876,24838.98634
Main Road,,Tabula Peutingeriana,1.29397195,1563.023162
Secondary Road,,,1.316591353,19753.292
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",0.50374983,587.9645251
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",1.019323676,6666.108188
Secondary Road,,,1.310102579,16415.41385
Secondary Road,,,1.797121294,7713.898043
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",1.315018293,12781.17302
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",1.888629692,3444.457016
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana,Via Popillia Capua-Rhegium",1.416682782,1528.567387
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana,Via Popillia Capua-Rhegium",1.721149994,982.1860225
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana,Via Popillia Capua-Rhegium",1.155297253,7717.236631
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",2.36279757,33362.95327
Secondary Road,,,0.940935416,3955.695638
Main Road,,Tabula Peutingeriana,1.32284203,9938.530925
Main Road,,Tabula Peutingeriana,1.735174294,2393.136846
Main Road,,Tabula Peutingeriana,1.10409165,5313.826471
Secondary Road,,Tabula Peutingeriana,1.261808821,4958.676118
Secondary Road,,,2.755154253,29981.20933
Secondary Road,,,2.794422469,2220.693671
Secondary Road,,,3.100732987,20635.01967
Main Road,Publius Popillius Laenas (132 BCE),"Tabula Peutingeriana, Itinerarium Antonini, Via Popillia Capua-Rhegium",0.789856084,11954.6324
